step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,bottom0_stopped,bottom0_accumulated_waiting_time,bottom0_average_speed,bottom1_stopped,bottom1_accumulated_waiting_time,bottom1_average_speed,left0_stopped,left0_accumulated_waiting_time,left0_average_speed,left1_stopped,left1_accumulated_waiting_time,left1_average_speed,right0_stopped,right0_accumulated_waiting_time,right0_average_speed,right1_stopped,right1_accumulated_waiting_time,right1_average_speed,top0_stopped,top0_accumulated_waiting_time,top0_average_speed,top1_stopped,top1_accumulated_waiting_time,top1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
150.0,44,3008.0,54.69090909090909,2.075875148304688,12,982.0,0.2102287998116476,7,397.0,0.2096790318873024,16,1088.0,0.0,9,534.0,0.11747000932755264,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,44,3001.0
155.0,47,3235.0,55.775862068965516,1.4412618315765715,12,1042.0,0.16385950222158016,9,436.0,0.04391593048135762,16,1168.0,0.057672897872754814,10,581.0,0.14891190729538817,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,47,3227.0
160.0,51,3478.0,57.96666666666667,1.550593150445149,14,1112.0,0.11296934132325832,10,486.0,0.11091342142193271,16,1248.0,0.1495481018086663,11,630.0,0.07723168264932924,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,51,3476.0
165.0,50,3712.0,58.92063492063492,1.7487953236860212,15,1184.0,0.03596624543716249,8,526.0,0.2306182005937116,16,1328.0,0.17823262299662873,11,685.0,6.091261714957236e-07,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6029790894579411,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,50,3723.0
170.0,54,3973.0,61.12307692307692,1.930424512760299,16,1262.0,0.03595783791640762,10,571.0,0.20124957545592845,17,1411.0,0.14508712126741183,11,740.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9661436173927055,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,54,3984.0
175.0,55,4248.0,64.36363636363636,1.700613281225354,16,1342.0,0.10867923316763038,11,626.0,0.20737970641873876,17,1496.0,0.030804000135219785,11,795.0,0.14635062736467497,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,55,4259.0
180.0,55,4523.0,66.51470588235294,1.9709501853639015,16,1422.0,0.16945948410403072,11,681.0,0.14040592726791915,17,1581.0,0.0,11,850.0,0.08270945153023834,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9713049357551445,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,55,4534.0
185.0,57,4805.0,69.6376811594203,1.7173713721447548,16,1502.0,0.16734810108402412,13,743.0,0.06948779017902106,17,1666.0,0.05219283740778506,11,905.0,0.11283074285990155,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,57,4816.0
190.0,59,5097.0,71.78873239436619,1.7166338943803297,18,1589.0,0.12222566598748409,13,808.0,0.1281775328227881,17,1751.0,0.05322537482444032,11,960.0,0.05922898217519005,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.8776160457713983,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,59,5109.0
195.0,62,5399.0,76.04225352112677,1.4755113055056281,20,1683.0,0.10820182821010257,13,873.0,0.12155593174343442,17,1836.0,0.09980956244245555,12,1018.0,1.721037478342646e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9646350673884176,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,62,5411.0
200.0,62,5709.0,78.20547945205479,1.4382855884869055,20,1783.0,0.04582973698738912,13,938.0,0.1422393894776519,17,1921.0,0.06758428646872558,12,1078.0,0.0687650252609979,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,62,5720.0
205.0,64,6024.0,79.26315789473684,1.654473734943917,21,1888.0,0.04313578202574169,14,1003.0,0.1559492749537335,17,2006.0,0.020556271428839465,12,1138.0,0.17920175473490488,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,64,6035.0
210.0,66,6348.0,84.64,1.0155192693148878,21,1993.0,0.05841257460370319,15,1074.0,0.14976796830000952,18,2094.0,1.4590506203051035e-05,12,1198.0,0.0871553271914212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,66,6359.0
215.0,66,6678.0,85.61538461538461,1.3470514666653866,21,2098.0,0.07581461947874692,15,1149.0,0.01819049129223238,18,2184.0,0.04860466404932836,12,1258.0,0.13625758628293066,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9438377199559472,0,0.0,1.0,0,0.0,0.6910662920200724,66,6689.0
