step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,A4_stopped,A4_accumulated_waiting_time,A4_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E0_stopped,E0_accumulated_waiting_time,E0_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
100.0,4,15.0,0.36585365853658536,9.399980590498542,0,0.0,1.0,0,2.0,0.5991009659347316,1,3.0,0.4569216669461438,0,0.0,1.0,0,2.0,0.8690379037465017,0,0.0,0.9945939940570526,0,0.0,1.0,0,0.0,0.7933022811176654,0,0.0,0.9535939211269049,1,2.0,0.0023189226042332283,0,0.0,0.9399820759370281,0,0.0,1.0,0,0.0,0.9692261590200884,0,1.0,0.896613671928149,0,0.0,0.9545412740338551,1,5.0,0.3445208696345945,0,0.0,0.9196821752083297,0,0.0,1.0,1,7.0,0.4683369911608736,0,2.0,0.5820460464381682,0,0.0,0.6364876561352749,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9413370217811361,0,0.0,0.7500926906731009,4,24.0
105.0,5,25.0,0.5681818181818182,9.599301044546142,0,0.0,1.0,0,2.0,0.49857817783798547,0,2.0,0.8815065464875903,0,4.0,0.8002095984251083,0,2.0,0.9270391947474327,0,0.0,0.9530676374662526,0,0.0,0.7853388746483925,0,0.0,0.962492788393006,0,0.0,0.7891441919476072,1,9.0,0.3784730633562164,0,0.0,0.9297478591793856,0,0.0,1.0,0,0.0,0.6058069446057771,0,1.0,0.8121780835011193,0,0.0,1.0,1,1.0,0.004596437035249549,0,0.0,0.961087721241806,0,0.0,1.0,1,12.0,0.476084871982227,0,2.0,0.9952810282084872,1,2.0,0.0029546840043808025,0,0.0,0.9427416215046728,0,0.0,1.0,0,0.0,0.9904514770255494,1,5.0,0.7022064619427275,5,42.0
110.0,5,30.0,0.6666666666666666,9.767062243769047,0,0.0,1.0,0,0.0,0.7650656707335615,0,2.0,0.8528090852111047,0,4.0,0.9246311783336333,0,2.0,0.9314425429162294,0,0.0,0.932495066590667,0,0.0,0.9523333837007969,0,2.0,0.926217524437521,0,0.0,1.0,0,0.0,0.7209053644645342,1,2.0,0.47790873134995776,0,0.0,1.0,2,6.0,0.31349922505031363,0,0.0,0.7973297409944271,0,0.0,1.0,1,6.0,1.524452025436932e-05,0,0.0,1.0,0,0.0,1.0,1,17.0,0.49225368453439694,0,0.0,0.9298672439110844,0,0.0,0.9295268428493089,0,0.0,0.35932199054887737,0,0.0,1.0,0,0.0,0.8662406361749891,0,2.0,0.9551470978860779,5,43.0
115.0,4,20.0,0.425531914893617,10.585429458578234,0,0.0,1.0,1,1.0,0.4937130683467512,0,2.0,0.8804631042566781,0,0.0,0.936101973753218,0,2.0,0.49665519510516737,0,0.0,0.9709546221505386,0,0.0,0.874788547896521,0,2.0,0.9299830694826956,0,0.0,0.8863207458772204,0,0.0,0.9336957909454987,1,7.0,0.4768095338798459,0,0.0,1.0,0,0.0,0.7262453071541726,0,0.0,0.9384430862468469,0,0.0,0.9370041003886532,1,11.0,0.0,0,0.0,1.0,0,0.0,0.9268489090271148,0,0.0,0.8114097846981098,0,2.0,0.750048246424137,0,0.0,0.9224882747576163,1,2.0,0.001207894910297387,0,0.0,1.0,0,0.0,0.9318545526738728,0,2.0,0.5472203798299772,4,31.0
120.0,8,30.0,0.6521739130434783,8.848979085296506,0,0.0,0.9787037206843197,0,0.0,0.6409352574542309,2,4.0,0.01852124473933436,0,0.0,0.06327615985177279,1,6.0,0.5999481810024874,0,2.0,0.7668587146856662,0,0.0,0.9315879092314993,0,2.0,0.56098672899891,0,0.0,0.9490097443473873,1,1.0,0.6377809581216124,0,1.0,0.3087746149778492,0,0.0,0.7171952999144823,1,2.0,0.483546319406165,0,0.0,0.9553896924653812,0,0.0,0.9610553833442227,1,16.0,0.0,0,0.0,1.0,0,4.0,0.9220033800814612,0,0.0,0.9237501915709915,0,2.0,0.9557155711528096,0,0.0,1.0,0,0.0,0.9367050101047238,0,0.0,1.0,0,2.0,0.6072422188761658,2,7.0,0.00022402930295743796,8,49.0
125.0,11,51.0,1.0851063829787233,8.541488924956628,0,0.0,0.012493036625450291,1,4.0,0.5001349941125394,3,18.0,0.0001784491908504381,1,5.0,0.0,0,2.0,0.7916832881847707,0,2.0,0.9359528034584302,0,2.0,0.8687321555151214,1,4.0,0.0005546308476777968,0,0.0,0.3799272580682276,1,6.0,0.0,1,5.0,0.21673557225951023,0,0.0,0.9400871657090587,0,0.0,0.9503931773660826,0,0.0,0.9158351366344826,0,2.0,0.6626011274564995,0,0.0,1.0,0,2.0,0.9269389493785466,0,2.0,0.9415791669546261,0,0.0,0.9671919608698791,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9537001917289148,0,0.0,1.0,0,2.0,0.9562840466382528,2,17.0,0.0,10,73.0
130.0,9,61.0,1.2448979591836735,8.683101572730939,0,0.0,1.0,1,9.0,0.6141379903794663,3,33.0,0.0,0,0.0,0.8180341328690663,0,0.0,0.9300529020919418,0,4.0,0.652964677325135,0,2.0,0.938393885171293,1,9.0,0.0,1,2.0,0.001582584622362333,0,0.0,0.9120216998082399,1,10.0,0.4984961797968077,0,2.0,0.9520780271535076,0,0.0,0.9410729410498635,0,0.0,0.9697622906358343,2,7.0,0.5814020100281784,0,0.0,1.0,0,2.0,0.9454145887401463,0,2.0,0.6868797354004562,0,3.0,0.8032594500091851,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9690131693043357,0,0.0,0.9165241160376645,0,2.0,0.4734144143275145,0,0.0,1.0,9,87.0
135.0,3,31.0,0.62,9.847291461398665,0,0.0,0.9192780149530401,0,0.0,0.9592738937052079,0,12.0,0.3096235175739598,0,0.0,0.9587990647683582,0,4.0,0.9366152964428764,0,2.0,0.9679534263681173,0,0.0,0.9038820950779111,1,14.0,0.471933638850259,1,7.0,0.0,0,0.0,0.93379355105223,1,13.0,0.6257961577183357,0,2.0,0.547852760180769,0,0.0,0.9889240506329113,0,0.0,0.9716226655265235,0,2.0,0.8530732399868874,0,0.0,1.0,0,2.0,0.9413950882023071,0,2.0,0.25453405235299964,0,3.0,0.9619188474339163,0,2.0,0.9902037184907619,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7827940101440992,0,0.0,0.23328079429859583,0,0.0,1.0,3,65.0
140.0,6,25.0,0.49019607843137253,9.845847438114054,0,0.0,0.9506845906364381,0,2.0,0.5228848853664956,0,2.0,0.9445307040733026,0,2.0,0.9450834208911968,0,4.0,0.9358485797180907,0,2.0,0.9651926418854182,0,0.0,1.0,0,0.0,0.808114331963168,1,12.0,0.0,1,2.0,0.16829644455983409,0,0.0,0.927514640938718,2,9.0,0.5320166316168516,0,0.0,0.9414551944997739,0,0.0,0.9195856215099657,2,6.0,0.12083752400784896,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,5.0,0.8472444156607314,0,0.0,0.9069580998060269,0,0.0,1.0,0,0.0,1.0,0,1.0,0.8506093025338771,0,0.0,0.9126609335478434,0,0.0,1.0,6,47.0
145.0,5,24.0,0.47058823529411764,9.835556794353502,0,0.0,0.950233055400785,2,6.0,0.3238504240526921,0,0.0,0.9344398650384913,0,2.0,0.8960569953199188,0,4.0,0.9364856755731703,0,4.0,0.7512512517381611,0,0.0,1.0,0,0.0,0.5495292392090018,0,2.0,0.9095760620429704,0,1.0,0.24892529207350045,0,0.0,0.927688294920221,0,5.0,0.7078966626206864,0,0.0,0.9234952106626761,0,0.0,1.0,3,20.0,4.710107212623074e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,5.0,0.8233049533553632,0,0.0,0.6705188023232826,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9502810517093456,0,0.0,0.9267391009873808,0,0.0,1.0,5,50.0
150.0,4,8.0,0.1568627450980392,10.17622010197568,0,0.0,1.0,0,0.0,0.8077973281572636,0,0.0,0.9429539899889164,0,4.0,0.9207925549952121,1,3.0,0.0037277669066120333,1,7.0,0.7462240714179246,0,2.0,0.4671889127552605,0,0.0,0.9130056262817944,0,2.0,0.9527542541083359,0,0.0,1.0,0,0.0,0.9404378006967606,1,2.0,0.50971943628618,0,0.0,0.6072744336939847,0,0.0,1.0,0,9.0,0.6368818728344849,0,0.0,0.941107781408145,0,2.0,0.9065069537595303,0,0.0,1.0,1,7.0,0.7651437315721829,0,3.0,0.5912808415327684,0,0.0,1.0,0,0.0,1.0,0,1.0,0.441530009972352,0,0.0,0.9723644477806278,0,0.0,1.0,4,42.0
155.0,5,17.0,0.3333333333333333,9.90607979381049,0,0.0,0.9887981295205222,0,0.0,1.0,1,1.0,0.3901756594902193,0,4.0,0.5061852371847637,1,8.0,0.0,0,0.0,0.6907109840814366,0,4.0,0.9458923751668471,1,1.0,9.867469626123691e-05,0,2.0,0.9351764052692456,0,2.0,0.930673421001257,0,0.0,0.9635756499786622,0,0.0,0.5050770275649502,0,0.0,0.9111783006387362,0,0.0,1.0,0,0.0,0.9497282294047076,0,0.0,0.888861049288215,0,2.0,0.9612875333166461,0,0.0,1.0,1,12.0,0.379956082885601,0,3.0,0.9057771752953268,0,0.0,0.9362128018946234,0,0.0,0.9954514618979392,1,3.0,0.00028089418738320304,0,0.0,0.8692096201540765,0,0.0,0.9543052453283809,5,42.0
